Title,Url,Page,Location on page,Side,Drawing Inscription,Drawing Date,Support Material,Drawing Medium and Style,Set of Drawings,Drawing Source,Title of depicted object,Current Location,GeolocCurrentLocation,Current inventory no.,Source object material,Source object type,Date,Discovery date,Archeological Findspot,geolocFindspot,Provenance,Collector,Iconography,Tracing Source,Online Collection Record,Bibliographic References:,Notes,Updated date
Bassorilievo (?) - Sword,http://digitalmontagny.inha.fr/en/record/montagny03v01c,Folio 3 Verso,"Leaf 3v, top of the page","Horizontal, turn book clockwise",[vertical] Spada greca,,White paper,"Ink, line drawing",,Original work of art (made from),Sword,Location unknown,,,,bas-relief (sculpture technique),,,,,,,Sword,,,,,2015-09-12T19:20:00Z
Bassorilievo (?) - Torch,http://digitalmontagny.inha.fr/en/record/montagny09v04b,Folio 9 Verso,"Leaf 9v, bottom right of the page",Vertical,"L’aspergile , des anciens, Romains",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,,,,,,,,Torch,"Du Choul, 1581 - p. 289",,,,2015-06-05T14:20:00Z
Bassorilievo (?) - Vase,http://digitalmontagny.inha.fr/en/record/montagny10v01a,Folio 10 Verso,"Leaf 10v, top of the page, left",Vertical,"Vases , servant aux sacrifices , des Anciens Romains. , figures du vase nommé , Prefericule retiré de , l’antique marbre.",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,,vase,,,,,,,Vase,"Du Choul, 1581 - p. 308",,,,2015-08-14T15:18:00Z
Bassorilievo - altar,http://digitalmontagny.inha.fr/en/record/montagny11v03b,Folio 11 Verso,"Leaf 11v, middle of the page, right",Vertical,"figure de l'Are, ou etoient mis les , premices et fruits avant que de Sacrifier , retiré de l antique , are ou Autel",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,altar,,,,,,,"Altar, Basket, Fruit","Du Choul, 1581 - p. 307",,,,2015-06-05T14:35:00Z
Bassorilievo - Acerra,http://digitalmontagny.inha.fr/en/record/montagny09v04a,Folio 9 Verso,"Leaf 9v, bottom right of the page",Vertical,"(Acerra) , petit , coffre, ou , tenoyent leur , encens les Sacrificateurs",,Transparent paper,"Ink, line drawing",,Engraving,,Rome. Musei Capitolini,"41.8929428, 12.4825577",S 608,marble (rock),bas-relief (sculpture technique),Augustean age,,,,,,"Acerra, Bucranium, Garland, Palmette","Du Choul, 1581 - p. 325",http://capitolini.net/object.xql?urn=urn%3Acollectio%3A0001%3Ascu%3A00608,"Stuart Jones, 1912",,2015-08-14T15:16:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"pl. 61, n. 104",,
Bassorilievo - Altar,http://digitalmontagny.inha.fr/en/record/montagny10v02,Folio 10 Verso,"Leaf 10v, top of the page, right",Vertical,"figure de l’Autel , accoustré tout autour de , feuillage comme il est , à l’antique marbre",,Transparent paper,"Ink, line drawing",,Engraving,Marble altar,Location unknown,,,marble (rock),altar,,,,,,,"Altar, Garland","Du Choul, 1581 - p. 296",,,,2015-06-05T14:19:00Z
Bassorilievo - Altar,http://digitalmontagny.inha.fr/en/record/montagny15v04,Folio 15 Verso,"Leaf 15v, bottom left of the page",Vertical,"Autel antique jardins , de la villa Medici. , 4 pieds de hauteur.",,Transparent paper,"Ink, line drawing",,Engraving,,Florence. Pitti Palace,"43.7651533, 11.2500081",no inv. n.,marble (rock),altar,,,,,"Rome, villa Medici, Rome. Palazzo Valle-Capranica",,"Altar, Base, Bucranium, Garland, Meander, Rosette","Saint-Non et al., 1790 - SA, pl. 18f (59)",,"Cecchi et al., 2009",,2015-08-05T14:30:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 225, n. 249",,
Bassorilievo - Altar,http://digitalmontagny.inha.fr/en/record/montagny55r03,Folio 55 Recto,"Leaf 55r, bottom of the page","Horizontal, turn book clockwise",5 palmi Romano,,White paper,,,Original work of art (made from),,Location unknown,,,,altar,,,,,,,"Altar, Laurel crown, Mask, Oenochoe",,,,,2015-08-03T14:01:00Z
Bassorilievo - Altar,http://digitalmontagny.inha.fr/en/record/montagny56r01,Folio 56 Recto,"Leaf 56r, top of the page","Horizontal, turn book clockwise","[numbers cut], Sepolcro Antico, nel museo Pio clementino",,White paper,"Ink, line drawing",,Original work of art (made from),,Location unknown,,,marble (rock),altar,,,,,,,"Altar, Rosette",,,,,2015-07-23T14:20:00Z
Bassorilievo - Altar,http://digitalmontagny.inha.fr/en/record/montagny56r03,Folio 56 Recto,"Leaf 56r, bottom of the page","Horizontal, turn book counterclockwise","25, a sinistra c'è sempre il vaso di, Libazione alla dritta la Patena, [vertical] Sepolcro Antico, altezza 3 Palmi è mezzo,, nel museo Pio clementino",,White paper,"Ink, line drawing",,Original work of art (made from),,Location unknown,,,marble (rock),altar,,,,,"Pio Clementino museum, Vatican",,"Altar, Laurel crown, Oenochoe",,,,,2015-08-03T14:00:00Z
Bassorilievo - Altar,http://digitalmontagny.inha.fr/en/record/montagny71r01,Folio 71 Recto,"Leaf 71 r, top of the page","Horizontal, turn book clockwise","Sepolcro Antico Altezza 3 Palmi - 4 once, nel museo Pio Clementino, 29",,White paper,"Ink, line drawing",Rome sketchbook,Original work of art (made from),,Location unknown,,,marble (rock),altar,,,,,"Pio Clementino museum, Vatican",,"Altar, Oenochoe, Rosette",,,,,2015-08-15T14:31:00Z
Bassorilievo - Altar with guirland,http://digitalmontagny.inha.fr/en/record/montagny55r01,Folio 55 Recto,"Leaf 55r, top of the page","Horizontal, turn book clockwise","Sepolcro Antico nel museo Pio , clementino",,White paper,"Ink, line drawing",,Original work of art (made from),Altar,Vatican. Museo Pio-Clementino. Museo Chiaramonti,,no inv. number,,altar,,,,,,,"Altar, Fruit, Garland, Palmette, Rosette",,,"Amelung, 1903",,2015-07-23T14:24:00Z
Bassorilievo - Amazon and warrior,http://digitalmontagny.inha.fr/en/record/montagny15r02,Folio 15 Recto,"Leaf 15r, top of the page, middle","Horizontal, turn book clockwise",[ink] Muséo Pio Clementino,,White paper,"Pencil, chiaroscuro",,Original work of art (made from),Fragment from a sarcophagus with Amazons,Vatican. Museo Pio-Clementino,,Inv. 896 ; Am. 69 ; Spi. PS 17 (sarcophagus),marble (rock),bas-relief (sculpture technique),170-180 AD,,,,"Before 1530 in the nord-west corner of the Cortile delle Statue, then in the Portico Ovest. , Since 1985 in the Cortile Ottagono.",,"Amazon, Axe, Helmet, Knife, Shield, Warrior",,,"Amelung, 1903",,2015-03-16T13:52:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, p. 175",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Andreae et al., 1995",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, p. 277-279",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Helbig and Speier, 1963",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, p. 217",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Spinola, 2004",,
,,,,,,,,,,,,,,,,,,,,,,,,,,PS 17,,
Bassorilievo - Asclepius,http://digitalmontagny.inha.fr/en/record/montagny20r01,Folio 20 Recto,"Leaf 20r, top of the page","Horizontal, turn book clockwise","[ink] Des.né aux études , à Naples, [ink] Esculapio dio , della Medicina e della , chirurgia, [ink] Bas-réliefs.",,Blue paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Puteal,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",6670,marble (rock),bas-relief (sculpture technique),41-54 (Claudius era),,,,del Bufalo collection,"Bufalo, del, family","Asclepius, Caduceus (Attributes of Mercury), Snake",,,"Cantilena, 1989",,2015-09-12T18:51:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 180-181, n. 179 a-d",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"LIMC, 1981",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, p. 651, n. 23",,
Bassorilievo - Asclepius and Hygeia,http://digitalmontagny.inha.fr/en/record/montagny67r02,Folio 67 Recto,"Leaf 67r, bottom of the page",Vertical,"le figure hanno , 4 Palmi Romani , e 30 oncie , [ink] Esculapio Dio della , medicina e della , chirurgia , Igia Dea della Sanità , era figlia d Esculapio, bassorilièvo Antico",,White paper,"Pencil, chiaroscuro",,Original work of art (made from),Aesclepius and Hygeia,Paris. Musée du Louvre,"48.8606111, 2.337644",MA 602,marble (rock),bas-relief (sculpture technique),144 CE,,Unknown,"42.230537, -83.7466403",Galleria Borghese,,"Asclepius, Hygieia, Snake",,,,"A REVOIR DELPHINE Dedication from C. Pupius Firminus, treasurer of the association of bakers, Rome, 144 CE.",2015-03-16T15:34:00Z
Bassorilievo - Base of an altar,http://digitalmontagny.inha.fr/en/record/montagny15v02,Folio 15 Verso,"Leaf 15v, top right of the page",Vertical,"pied de , candelabre , ou , chandelier Antique , ou tombeau de Bacchus , près de Rome , marbre trois pieds , 1/2 de haut",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,altar,,,,,,,"Acanthus, Altar, Cupid, Dove, Ram's head, Rosette, Sphinx, Sphinge, Vine","Saint-Non et al., 1790 - SA, pl. 3b (44)",,,Il tempio di Bacco (Bacchus' Tomb) is the name that was given to the Mausoleo di S. Costanza near Santa Agnese church near Rome.,2015-07-29T11:02:00Z
Bassorilievo - Basin,http://digitalmontagny.inha.fr/en/record/montagny11r04,Folio 11 Recto,"Leaf 11r, bottom of the page, left",Vertical,"facon du Benitier antique , qui se voit , encore aujourd’hui, preso dall’Antico, per mettere l’acqua, Lustrale come , usavano gli antichi , ne’ loro tempii . nel , ingresso",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,,,,,,,,"Basin, Garland, Ram's head","Du Choul, 1581 - p. 290",,,,2015-06-05T14:32:00Z
Bassorilievo - candelabra,http://digitalmontagny.inha.fr/en/record/montagny10v07c,Folio 10 Verso,"Leaf 10v, bottom of the page",Vertical,"candélabre , des anciens, Romains, tout, ainsi figuré, qu’il se voit, par les marbres, Antiques.",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,"Candelabrum, Tripod","Du Choul, 1581 - p. 310",,,,2015-06-05T14:25:00Z
Bassorilievo - Cinerary Urn,http://digitalmontagny.inha.fr/en/record/montagny66r03b,Folio 66 Recto,"Leaf 66r, bottom of the page",Vertical,"Griffòne Antico nel museo Pio , Clementino, 9",,White paper,"Ink, line drawing",Rome sketchbook,Original work of art (made from),Urn with a griffin,Vatican. Museo Pio-Clementino,,inv. 2072,marble (rock),bas-relief (sculpture technique),End of the 2nd c. CE,,,,,,Griffin,,,"Amelung, 1903",,2015-07-27T15:26:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,376,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Andreae et al., 1995",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, 3, pl. 913",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Spinola, 1996",,
,,,,,,,,,,,,,,,,,,,,,,,,,,LI 31,,
Bassorilievo - Console,http://digitalmontagny.inha.fr/en/record/montagny65r01,Folio 65 Recto,"Leaf 65r, top of the page","Horizontal, turn book clockwise","Antico, nel Museo Pio Clementino, 14.",,White paper,"Pencil, chiaroscuro",Rome sketchbook,Original work of art (made from),,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,"Pio Clementino museum, Vatican",,"Acanthus, Console, Garland, Rosette",,,,,2015-08-15T14:30:00Z
Bassorilievo - Crosier (?),http://digitalmontagny.inha.fr/en/record/montagny10v03a,Folio 10 Verso,"Leaf 10v, upper middle of the page, left",Vertical,"[vertical] Litue ou , Bâton Augustal des anciens Romains.",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,Crozier,"Du Choul, 1581 - p. 251",,,,2015-08-14T15:21:00Z
Bassorilievo - Cupid holding a helmet,http://digitalmontagny.inha.fr/en/record/montagny34r05b,Folio 34 Recto,"Leaf 34r, bottom of the page",Vertical,"genio di marte di , finissima scultura , nel museo Pio Clementino, 4.",,White paper,"Ink, line drawing",,Original work of art (made from),,Vatican. Museo Pio-Clementino. Galleria dei candelabri,,inv. 2677,marble (rock),bas-relief (sculpture technique),Hadrian- early Antonine era,1790,"Italy, Tivoli, Villa Adriana","41.956982, 12.771759",,,"Cupid, Helmet",,,"Cain, 1985",,2015-07-29T14:02:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"n. 104, p. 188",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Spinola, 2004",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"GC IV, 46",,
Bassorilievo - Cupid holding the symbols of Mars,http://digitalmontagny.inha.fr/en/record/montagny33v01,Folio 33 Verso,"Leaf 33v, center of the page",Vertical,"[ink] n° 1 , [ink] genio di , Marte di , finissima scultura , nel museo Pio , Clementino , in Roma , 1804, [ink, vertically] (Pal 1. 2 oncie), [ink] Génie de la guerre , croquis d'après l'Antique , Rome, [ink, on frame] (E. H. Montagny f.t. Roma. Pittore d'Istoria.) (c est d un fameux caractère), [ink] (à noter)",,White paper,"Pencil, chiaroscuro",Rome sketchbook,Original work of art (made from),,Location unknown,,,,bas-relief (sculpture technique),,,,,"Pio Clementino museum, Vatican",,"Cupid, Mars (Attributes of), Trident (Attributes of Neptune), Palm leaf, Shield, Sword, Wreath",,,,,2015-07-29T14:05:00Z
Bassorilievo - Cupid in Acanthus (Front view),http://digitalmontagny.inha.fr/en/record/montagny04r03,Folio 4 Recto,"Leaf 4r, bottom of the page","Horizontal, turn book clockwise","3 Palmi e mezzo Romano, nel museo , Pio-Clementino, [vertically] 42",,White paper,"Ink, line drawing",Rome sketchbook,Original work of art (made from),Cupid in Acanthus,Location unknown,,,marble (rock),statue,,,,,"Pio-Clementino museum, Vatican",,"Acanthus, Bunch of grapes, Cupid",,,,,2015-09-12T19:23:00Z
Bassorilievo - Cupid in an acanthus (Profile - left),http://digitalmontagny.inha.fr/en/record/montagny40r01,Folio 40 Recto,"Leaf 40r, top of the page","Horizontal, turn book clockwise","3 Palmi e mezzo Romano, nel museo Pio Clementino",,White paper,"Ink, line drawing",Rome sketchbook,Original work of art (made from),,Location unknown,,,marble (rock),statue,,,,,"Pio-Clementino museum, Vatican",,"Acanthus, Bunch of grapes, Cupid",,,,,2015-07-29T11:49:00Z
Bassorilievo - Cupid in an acanthus (Profile - right),http://digitalmontagny.inha.fr/en/record/montagny40r05,Folio 40 Recto,"Leaf 40r, bottom of the page","Horizontal, turn book clockwise","3 Palmi e mezzo, Romano nel Museo, Pio Clementino, [horizontal] 40",,White paper,"Pencil, line drawing, Ink, line drawing",Rome sketchbook,Original work of art (made from),,Location unknown,,,marble (rock),statue,,,,,"Pio-Clementino museum, Vatican",,"Acanthus, Bunch of grapes, Cupid",,,,,2015-07-29T11:26:00Z
Bassorilievo - Cupids holding shield and quiver,http://digitalmontagny.inha.fr/en/record/montagny34r01,Folio 34 Recto,"Leaf 34r, top of the page",Vertical,"genio di marte di finissimo scultura , Genio di marte di finissimo scultura , nel museo Pio Clementino , 36, [pencil] 2. 3.",,White paper,"Ink, line drawing",,Original work of art (made from),Candelabra Basis,Vatican. Museo Pio-Clementino. Galleria dei candelabri,,inv. 2677,marble (rock),bas-relief (sculpture technique),Hadrian- early Antonine era,1790,"Italy, Tivoli, Villa Adriana","41.956982, 12.771759",,,"Cupid, Quiver, Shield, Sword",,,"Cain, 1985",,2015-07-29T13:58:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"n. 104, p. 188",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Herklotz, 1999",,
,,,,,,,,,,,,,,,,,,,,,,,,,,pp. 323,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Drawing in Cassiano Paper Museum,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Spinola, 2004",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"GC IV, 46",,
Bassorilievo - Cupids with marine creatures,http://digitalmontagny.inha.fr/en/record/montagny07r01b,Folio 7 Recto,"Leaf 7r, top of the page",Vertical,Bassorilevo Antico nel museo Pio Clementino,,White paper,"Ink, line drawing",Rome sketchbook,Original work of art (made from),Bassorilievo - Fragment from a sarcophagus,Vatican. Museo Pio-Clementino,,XXXIX 28,marble (rock),bas-relief (sculpture technique),,,,,from Gaul,,"Cupid, Ram, Sea-horse",,,"Amelung, 1903",,2015-09-12T19:39:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,707b,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Andreae et al., 1995",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, 3, p. 885",,
Bassorilievo - detail from a puteal,http://digitalmontagny.inha.fr/en/record/montagny20r03,Folio 20 Recto,"Leaf 20r, bottom of the page","Horizontal, turn book clockwise","[ink] Des.né , aux Etudes , à Naples, [ink] Bas-reliefs",,Blue paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Puteal,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 6670,marble (rock),bas-relief (sculpture technique),41-54 (Claudius era),,,,del Bufalo coll.,"Bufalo, del, family",Vase,,,"Cantilena, 1989",,2015-07-03T11:25:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 180-181, n. 179 a-d",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"LIMC, 1981",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, p. 651, n. 23",,
Bassorilievo - Diana,http://digitalmontagny.inha.fr/en/record/montagny07v03,Folio 7 Verso,"Leaf 7v, bottom of the page","Horizontal, turn book clockwise","Bassorilievo nella villa Borghese , Palmi 6 è due , oncie",,White paper,"Ink, chiaroscuro",,Original work of art (made from),,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,villa Borghese,,"Diana, Horn, Spear",,,,,2015-06-05T14:11:00Z
Bassorilievo - Dionysus supported by a satyr,http://digitalmontagny.inha.fr/en/record/montagny65r02,Folio 65 Recto,"Leaf 65r, middle of the page",Vertical,"Bassorilievo di terra cotta, trovato, all Quirinale.",,Blue paper,"Ink, chiaroscuro",,Original work of art (made from),,Location unknown,,,terracotta (clay material),bas-relief (sculpture technique),,,"Italy, Rome, Quirinal","41.8996484, 12.4870235",,,"Bacchus, Faun",,,,,2015-06-05T10:56:00Z
Bassorilievo - Disc,http://digitalmontagny.inha.fr/en/record/montagny11v03a,Folio 11 Verso,"Leaf 11v, middle of the page, right",Vertical,"figure du disque des anciens Romains,, retiré du marbre Antique. , bassin ou plat pour [vertical] mettre les intestins des victimes.",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,,,,,,,,,"Du Choul, 1581 - p. 316",,,,2015-02-09T11:35:00Z
Bassorilievo - Eagle in a wreath,http://digitalmontagny.inha.fr/en/record/montagny12v01,Folio 12 Verso,"Leaf 12v, center of the page","Horizontal, turn book clockwise","La fameuse Aigle antique des Sts Apôtres à Rome., Nel Portico dei SS Apostoli in Roma , Lhuilier et Doublay, Romae delineaverunt",,Transparent paper,"Ink, chiaroscuro",,Engraving,Eagle within an Oak Wreath,Rome. Chiesa dei Santi Apostoli,"41.89808439999999, 12.4833588","Rome, SS. Apostoli, Portico",marble (rock),bas-relief (sculpture technique),,,"Italy, Rome, Trajan's forum","41.8951795, 12.4853366",,,"Eagle, Wreath","Lhuillier, 1772 - pl. 9",,"Bober, Rubinstein, and Woodford, 1986",,2015-07-03T11:15:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 186,,
Bassorilievo - Egyptian head,http://digitalmontagny.inha.fr/en/record/montagny11v06a,Folio 11 Verso,"Leaf 11v, bottom of the page, right",Vertical,ornements Egyptien,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,,,,,,,,"Egyptian Goddesses, demi-goddesses, heroines, etc.",,,,,2015-06-17T11:57:00Z
Bassorilievo - Egyptian head,http://digitalmontagny.inha.fr/en/record/montagny11v06b,Folio 11 Verso,"Leaf 11v, bottom of the page, right",Vertical,,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,,,,,,,,"Egyptian Goddesses, demi-goddesses, heroines, etc.",,,,,2015-06-17T11:58:00Z
